"restaurant","rating","date","review","author"
"Arriba Arriba Sunnyside",3,"2009-08-18","Brunch....... GOOD. Dinner...... BAD. Yes I'm 5 years old.  Food is pretty decent, but you've had it all before somewhere else. There is absolutely nothing, NOTHING, that would make me want to ever go back here for dinner. They think it's a fine restaurant, sports bar and extremely loud night club all in one. It's like a 45 year old man going through an identity crisis.  Brunch is the polar opposite. Place is quiet, has seating and a good value brunch special with a 'free' drink. I recommend the Quick Paella for something a little different but there are a lot of solid choices. Service can be slow regardless of what time you go so if you want the check be sure to tell them.","Ryan M."
"Arriba Arriba Sunnyside",2,"2011-05-30","Why oh why did I waltz into Arriba Arriba without reading Yelp reviews first?  Oh mistake.  BIG mistake.  So my roommate and I were scouting places with outdoor seating or at least open air seating and we walk by Arriba Arriba.  Look, a perfect table right by the non-window, practically outside and $5 happy hour drinks - perfect! We sit, are immediately brought free chips and salsa (which is one of the more flavorful items we tried I might add.)  We both decided on enchiladas and guac and chips to start - it was $9, but for me its really hard to go to a Mexican restaurant and not have avocado flavor explosion to munch on with my cocktail while I'm waiting for a feast.  So it comes out, and its a large-ish proportion but ZERO flavor.  Very tomatoey, and could detect hardly a hint of garlic, onions or and sense of zest.. completely boring.  Worse than a packet from the grocery store.  We tried eating it in-between bites of the slightly more flavorful salsa.. but it just sucked.  So AFTER our entrees arrived we sent the guac back. Enchiladas.  Not good.  Luke warm, sauce seemed to be a bit crusted on there like it had been sitting out.  Pretty bland, not very cheesy.  Rice and beans were basically microwave dinners on a plate.  Wrong.  I was so wrong to pay $13 for a window seat entree.  Service was good, and our lady took the guac off our bill which was appreciated.  Ambiance wise, felt like a sports bar with TVs. An ok place for $5 happy hour drinks and free chips and salsa, a terrible place for meals.  If you are looking for real deal yummy Mexican cuisine this is absolutely not your place.  Try De Mole, it will make your heart sing.","Amanda H."
"Arriba Arriba Sunnyside",3,"2011-03-21","On Monday and Tuesday, they have a prixe-fix menu that includes a drink (frozen margarita, sangria, domestic beer, or sooda), appetizer and entree for $14.95. That said, the prixe-fix special is the only reason I'd come back here (or possibly to try those amazing looking margaritas and skip the food). The bf and I wandered in here after a long day at work and were surprised to see such an awesome deal. I got a sangria, four salsa chips covered in cheese and beans (ummm, they were the 'cheese nachos') and a steak fajita for $15! I can't complain about that at all.  Customer service however, could be greatly improved. Our waitress was likeable enough, but definitely looked like she would've rather been someplace else. It just didn't feel like a spot I'd come back to support in our little neighborhood of Sunnyside, when there are other restaurants with much more stellar food and service.  This is not the place you come for good Mexican food...or customer service. This is the type of place that you come to watch games, order stale chips from a bag and dip them in so-so salsa, and drink to your heart's content.","Nicole A."
"Arriba Arriba Sunnyside",2,"2012-01-25","Ugh, I used to come here a lot for the cheap happy hour frozen margaritas. The food was pretty hit-or-miss, and felt a bit expensive, and the service was pretty aloof and sluggish. Still, the cheap margaritas were worth it. Lately, it's a lot worse: the food is downright mediocre, service is truly lame (lazy, inattentive, and sloppy), AND the frozen margaritas tend to be kind of foamy and not delicious. So now I just don't go there at all.","Sarah K."
"Arriba Arriba Sunnyside",4,"2013-05-07","I really like this place, we go here over and over again!  Solid restaurant, decent service, good food, clean, many choices on the menu.  Good chips and salsa.  Not expensive.  What more can you ask for?  Go there tonight!","Angela S."
"Arriba Arriba Sunnyside",5,"2014-08-01","We dine at Arriba Arriba five times a year. The food is good and fresh. The margaritas always so good. The atmosphere is great with good vibe. The music is always is eclectic perfect for the crowd.","Victor A."
"Arriba Arriba Sunnyside",3,"2013-05-07","Good not great Mexican food some items are really good others not so much that's why the 3 stars if they were more consistent it would be better and a little pricey considering you can get better tacos of your local taco truck, but overall not bad if you pick the correct items like there Tortas. Lively crowd in the evenings for drinks & appetizers.","Julio F."
"Arriba Arriba Sunnyside",4,"2013-01-31","My friend and I went last night and sat at the bar.  It was really fun.  Big props to bartender, Sasha.  He has such a great energy and we'll definitely come back.  As for food, we ordered just wings and quesadillas.  Wished it was a little bit cheaper but the food hit the spot.","Von B."
"Arriba Arriba Sunnyside",1,"2009-11-04","Writing a negative review is not fun. It usually is divvied up to 60% venting, 30% exacting revenge and 10% personal accounts. I will try to be partial and reverse it with different ratios. I had very slow service considering there were only four people in the place and a wait staff of 3, (plus a bartender and two kitchen staff). The busboy brought out my entree first and then apologized and brought my soup.  The waitress was unaware of the issue and then I was assigned an new waitress mid-dinner. O.K., Nothing any other restaurant might not experience however, when I tasted the food, it was bland and the rice was dry, the salsa tasted exactly like store bought and the black bean soup was boring. I finished half of my food before discovering hair in my plate at which point I left. The only redeeming quality this place has is its bar and the tiny chips that taste freshly cooked.","Roman C."
"Arriba Arriba Sunnyside",3,"2009-10-05","Very nice servers here, although perhaps a bit clueless to help with those unfamiliar with the menu (psst.. that would be me) In any case, the ground beef enchilada I got was very good. I got to sub the rice and beans with wild rice and brocolli (which was more underdone than I'd like, but fine) Sangria was delicious, but I do wish the prices here were a bit more reasonable, especially since most restaurants in Sunnyside, if they are not 'top-notch,' are usually more wallet friendly.  Caution: in warm weather, do not sit by the window thinking you'd have a great view for enjoying the sunset or people watching... the frequent arrivals and departures of the bus directly in front will soon ruin the little romantic atmosphere you set out to create.","Wendy L."
"Arriba Arriba Sunnyside",1,"2009-11-28","I'm going to keep this short and sweet; 1. This place is *only* good for drinks. And the bartender mixes a good drink.  2. Their food is some of the worst I have ever had. I am not a picky eater, and I eat almost anything - believe me I am not one of those 'every-single-little-thing' bothers me kind of a gal. But when I received my taco salad and the meat smelled/tasted a day old, on top of basically being a Hamburger Helper recipe well I had about all I could take.  The service was fine, drink are kickin', but don't *ever* eat there. Trust me.","Allessandra C."
"Arriba Arriba Sunnyside",1,"2011-04-16","Though moderately priced, the food here was not remotely authentic and not  good.  I had the steak fajitas with the steak being fatty, with gristle and and barely present amongst the green pepper and onion.  It was almost as if I was given someone else's leftover plate with barely any meat left. The mimosa's were really just glasses of orange juice and the coffee was weak and bitter. The service was ok with the staff being congenial but on the slow side.   This might be a place just to have a drink but I'm afraid I won't be returning.","Robert G."
"Arriba Arriba Sunnyside",1,"2013-02-12","Don't like it at all, had steak and vegetables couldn't eat any was way to salty, i ordered medium rare and got well done. Margaritas are weak..","Bisbirusdolfa S."
"Arriba Arriba Sunnyside",1,"2011-11-24","This is the place my coworkers go to because it's only a block away from our job. We love this place. The staff is on point, drinks are good and food is reasonable. After last night's experience however, I will never go back. My group and I went for Wacky Wednesday ($3 Sangria, Margarita and domestic beer) and after ordering our third round, we were told by the server that the drinks were actually $5, not $3 because it was suspended for the upcoming holiday. (What!? If anything, you should have better specials for the holidays!) The server apologized and said that he had not been informed until now. After complaining to management, they agreed to give it to us for the $3 price. Two seconds after that, management took our server and started to berate him in front of all the customers. Outraged by the treatment to our server, who has always been very kind and gracious, my friends and I went up to the owner and demanded that he apologize to the server, considering he hadn't been told. The owner simply said, it's no sweat off your back, why are you making a big deal? After a long argument, going back and forth with the owner, he continued to disrespect the server and in turn, we also felt disrespected. Unfortunately, this is not the first time this has happened to us. On a prior occasion, my friends and I sat at the bar and there was a half full beer bottle in one of the middle seats. We moved it over, assuming the patron had left. He returned and started giving us hell about moving his drink and we kindly asked if he could move over so that our group could sit together. He started slinging some curse words our way and when we complained to management, all they said was 'well, he WAS sitting there first' completely ignoring the fact that he was being rude. After we threatened to leave with our group of ~25, management finally came to their senses and offered us a free house shot and kindly asked the gentleman to move because another place had cleared on the bar. So, if good drinks are important to you, go to Arriba Arriba. If reasonable food is important for you, go to Arriba Arriba. If respectful management is important to you, go somewhere else.","Asmika D."
"Arriba Arriba Sunnyside",5,"2014-02-21","This is real deal for mexican food lovers out there like me. The guacamole is a bit pricey for the amount, but tastes amazing. The drinks are a great deal during happy hour and the food options are great. I love the mini sombreros hanging from the ceiling - great ambiance and music too. Great for bringing friends from out of town and grabbing drinks. I highly recommend it for big groups even.","Courtney A."
"Arriba Arriba Sunnyside",4,"2010-07-18","I think I need to come to Queens more often.  Surprising nice place and pretty good service.  The menu is pretty big with tons of options from authentic tacos and burritos to flautas and enchiladas.  I of course had to have the tacos, namely the puebla tacos in an awesome mole sauce.  They were awesome and I would definitely come back just for that.  They also had a sweet summer drink special - sangria and frozen margarita mixed together with a coronita sticking out from the top.  2 of these and some tacos and I'm set!!","Eric B."
"Arriba Arriba Sunnyside",2,"2010-09-02","I've gotten way to drunk here twice from those fish bowl sized margaritas. Staff is pretty cool but the patrons are fairly douchie. Myself included after a couple of those fish bowl margaritas.  Food is an obnoxious attempt at hip, but that isn't really what we care about when we want Mexican is it folks? Second time I ate here my food was screwed up, I can't remember why exactly, but I tasted it and sent it back and they still charged me for it. The waitress 'had to ask the owner'. He blatantly told her to still charge me for it. The best part of this is the fact that I met the guy once.( I think I was a douche after those margaritas) I talked to him and he reluctantly took it off our check. Needless to say, everyone went home annoyed that evening.","Cat W."
"Arriba Arriba Sunnyside",3,"2012-04-18","The food was definitely flavorful (I had the pollo asado and my friend had the tamale with mole and chicken), however the service was slow even though it wasn't busy.  The ambience isn't the best for conversation either since they had loud dance music playing.  I'm told that certain nights they have dancing and that can be a favorite for some people in the neighborhood.","Yvonne L."
"Arriba Arriba Sunnyside",1,"2011-11-17","Oh Arriba:( You used to be my favorite place to go. I was so addicted to the pomegranate margaritas and food I would bring everyone I knew.  The quality kept sliding all summer to the point where my neighbor and I haven't been back for months. The service is retardedly slow and the food and drinks are almost inedible now.  I had an upchuck reaction to the chicken tacos and guacamole that tasted like fish.  And the main draw that kept me coming back, the pom margarita, tasted like medicine. The tostadas used to have fresh vegetables, last time they looked like scrapings. The platanos were like sugar caramelized candy delicious, last night they were so mushy I thought they had been regurgitated, and resembled the snake monsters in Tremors. The bald round waiter that used to be there every day wasn't there and I was glad because on my last visit he was so awful I did a lot of the service myself, It took 40 minutes for a house salad and when it arrived shortly after I finally asked, we had no silverware and when we requested a knife, fork, and share plates he nodded and disappeared to sing happy birthday to someone in the dj booth. I was embarrassed of the whole experience after talking the place up:( I'm sad to say last night's disgusting food and drink experience and the crying bartender who was nice at first but like Arriba slowly began to disappoint, will not convince me to return.  Arriba I miss the good ole days last year.","pmrkrd p."
"Arriba Arriba Sunnyside",5,"2012-08-23","Awesome cheap frozen margaritas during happy hour. I really enjoyed the Inka burrito which was stuffed with chicken in a Peruvian aji Amarillo (yellow pepper) sauce. Thought that was pretty unique as was the presentation. Found the service to be super attentive and friendly (though it wasn't very busy when I went). Will definitely be going back during happy hour!","Joe T."
"Arriba Arriba Sunnyside",4,"2014-03-23","One word: chicken flautas. So so good. The guac & chips as well as the carne asada are quite good as well.","Rokha H."
"Arriba Arriba Sunnyside",1,"2012-03-01","This place is just lame. Why bother when there is much tastier Latin American food all over the neighborhood?","Dan W."
"Arriba Arriba Sunnyside",5,"2009-10-05","OK.  I live around the corner from Arriba. I have gone there so many times. It is so awesome.  Happy Hour: 4-7 EVERY DAY and ALL DAY Mondays and Tuesdays. Margaritas are $5!!! They are so good! You will be drunk!! The Happy Hour price is only available at the bar, and is only for regular, frozen margaritas. But this is what you should be drinking. They are really good. Really strong.  The food is really, really good. I had my first only 'so-so' meal there just last week. I have eaten there many times and it has always been incredible. Recommendations: the veggie or mushroom quesadillas are amazing. The nachos are incredible. They aren't on the menu, but if you order them, you will not be disappointed. The Mama Burrito is also quite good.  This place is relatively new, and the menu has been constantly morphing since its opening, thus the confusion by one or two-time diners.  The wait staff is really friendly, although also constantly changing. The ambience is definitely different for Sunnyside, which I think is one of this restaurant's perks. It's an interesting, city-esque atmosphere with a totally Queens, small-town, local vibe.  All in all, Arriba is a great place to drink and eat. Have fun.","p e."
"Arriba Arriba Sunnyside",3,"2009-06-26","The food here is great. In fact, I would give it props for not having your stereotypical Tex Mex food especially given that it looks like it would be. Therein lies the problem. Although it has a nice open front for the warmer months, Arriba Arriba is more like a bar inside than a restaurant. Large Tvs dangle over the dominant bar, and loud hits blare out over the speakers. It was almost impossible to carry on a conversation.  Like a bar, Arriba Arriba takes justifiable pride in their margaritas, and those--like the food--were quite good. However, the service was quite slow too. It took forever to get a bill and change, preoccupied were our servers behind the bar. A final complaint, the chips that come with the salsa are so tiny, and why so few? Why so stingy??? Despite the good food I don't think I will be back. It's like being interested in a woman from another country but finding out she's at heart a sorority girl.","Geoff O."
"Arriba Arriba Sunnyside",2,"2012-12-14","Food was just average. Service was VERY slow and the staff doesn't seem like they want to be here at all. Apparently that's what they want there customers to feel like as well.","Daniel G."
"Arriba Arriba Sunnyside",3,"2012-04-24","Came here for brunch before a spa appointment next door with a friend. It was 1pm on a Saturday and we were the only people in the restaurant. I want to believe that the dinner is their larger service. We ordered from their brunch menu which they did not have the dish I wanted which  could not understand considering I wanted a mexican sandwhich which was grilled chicken with toppings. How do you not have grilled chicken???? Very weird. Although they had chicken for the fajitas that I ended up ordering after. Their sangria was refreshing. It was a nice quick bite before the spa but I just didn't understand how they were out of mexican sandwhich.","Beatrice C."
"Arriba Arriba Sunnyside",3,"2012-06-17","Came in for drinks and dessert. Fun vibe and good music. A little loud, but you can still chat with your friends. I think the watermelon margarita was the best out of the drinks that I tried.","Lorelei D."
"Arriba Arriba Sunnyside",1,"2012-11-06","Oh, for shame.  The sister restaurant in Midtown Manhattan should cut ties with this place and completely disown it.  The logo/sign is the only thing they have in common.  Margaritas are watered down, and the food is El Terrible. Oh, and it's dirty.  And too expensive for what it is.   Don't do it.  Just....don't.","Sarah Jane S."
"Arriba Arriba Sunnyside",5,"2009-03-05","I know you might be able to get comparably good Mexican in many places throughout Queens and Manhattan, but I defy you to find nicer service, more carful presentation, or better value for your experience.  I used to go the Arriba Arriba Upper East Side when I lived there, and I was thrilled to see they were opening one down the street from my new outer borough digs.  I went with my boyfriend on Valentine's Day a few weeks ago, and I couldn't wait to rave about it.  The BF had the California Burrito (yum! And lovely presentation, which is rare with burritos) I had green enchiladas, which were terrifically tangy and delicious.  The Guacamole is good, if a tad small.  Above all, the Margaritas are amazing.  Frozen or on the rocks, flavored or plain, they are good, not too sweet, and strong (but still tasty). I'm so glad this place is in my neighborhood, and I plan to go back as often as I can afford!","Kate S."
"Arriba Arriba Sunnyside",1,"2012-06-21","They just lost my entire office's business. Several of us love their food however we have a schuduled lunch time at noon and they will not take an order over the phone until noon! We attempted to call at 11:15 to place a delivery order for noon and they declined. Just lost a lot of buiness.","Co K."
"Arriba Arriba Sunnyside",4,"2012-03-09","My boyfriend & I were craving some mexican food in our 'hood so I read a few reviews of whats around. All seemed to be pretty mixed so we decided to just walk and check out the vibe of a few.. Ultimately we ended up here because the menu looked better, and for a friday night this was just the kind of atmosphere we were looking for. We ordered to guacamole to start, which they made table-side to our liking (extra spicy). For entrees I got the chile relleno w chicken, my boyfriend had the grilled salmon parrilla. My relleno was good but it had (no exaggeration) 1/2 inch of cheese melted on it.. i literally peeled it off and set it aside. the sauce that it came with was reallly good and spicy. My boyfriend enjoyed his dish, and from the bite I had the salmon seemed fresh. The service was friendly and attentive. Margaritas are good.. I had the skinny girl (nice to see that they offer the less sugar options) and it was fairly strong. Dessert was a downfall.. 'fried' ice cream was nothing more than a ball of vanilla ice cream rolled in corn flakes with honey on top. I grew up going to a restaurant that was infamous for fried ice cream so this was upsetting to my high hopes of a childhood pleasure.  all in all, enjoyable on a friday night. I would return but, based on other reviews, it would be on a busy weekend night when it seems they are more on their game.","Katie B."
"Arriba Arriba Sunnyside",3,"2009-06-09","So my group when here for the Musical Monday trivia night. The flier  promised 5 dollar margaritas.  So we sit down, are given a whiteboard, and thrown into trivia. We tried to order about a million times, but our waiter was also the host and judge for the trivia. Poor guy was running around like crazy, be we finally but our orders crazy quick. The trivia is not easy, but its fun! The crowd is great, lots of neighborhood people. Hardcore theater heads! Ok food, i got the Mexican Salad, a little to oily for my taste, my friend got the chimichanga, so amazing!!! We got the calamari for an app, very yummy! My only problem, is the drinks. These amazing 5 dollar Margaritas, only available at the bar. not the tables, oh at the tables there 16. Just knowing this info could have saved me a lot of cash! Oh i will be back, but know i know! So maybe the review will change....","Kimberly F."
"Arriba Arriba Sunnyside",5,"2011-04-23","This is the place to go if you want Mexican food while in Sunnyside. The margaritas are delicious - I got the El Papa. The Mama is huge so only order that if you're with someone else...unless getting drunk is on your agenda. For my dish I ordered the shrimp in garlic sauce (the exact name I'm forgetting). It was SO damn good. Our waiter was very nice too. Overall, A+ dining experience.","Nicole C."
"Arriba Arriba Sunnyside",3,"2010-10-11","The food is good. They try to hard to look like a yupi Manhattan tex-mex... it's Queens, get with the program!!! Here, we are at home and need not to be something we're not. The food is not bad and the margaritas nice and big, but if you have more than one... ay ay yay!!!","Oskar S."
"Arriba Arriba Sunnyside",1,"2012-02-21","This Place is Going Downhill fast. Far better options in the neighborhood. Save your money. Not sure what there take is on a good margarita, the guacamole was glossy looking and seemed bag fed with chunks. Vegetable fajita was not horrible but Really how can you mess that up.( It was my safety order after the bad drinks and Appy's).","Toni K."
"Arriba Arriba Sunnyside",2,"2009-06-28","Arriba Arriba ..... Abajo Abajo ( High High ... Low Low) Fathers Day is Dads turn to choose the cuisine and he wanted Mexican. So once his friends mentioned Arriba Arriba the choice was made.  Location: On the quite side of Queens Blvd. Plenty of Muni-meter parking available across the street. There should be no problem getting a spot on the weekends. Easily accessible to the BQE and LIE expressways. Restaurant: Great lounge ambiance with a bit of Indigenous flair. We sat by the open patio door which i hated but kept quite about. (The bus stop is like right in your face) Shortly after we got our chips(warm and taste) and salsa ( a bit spicy but i enjoyed it) and looked through the five- page menu. So it was time to order and I was feeling a bit scared about the place from seeing other orders come out. I asked my sister is this place Asian-Mexican Fusion Cuisine? She said 'no looks like just Mexican to me.' To which i replied ' Imma have a Quesadilla. That's Simple.' So are waiter which was boring as seeing paint dry came and took our orders. I got the aforementioned and a Sangria -Margarita on the rocks.  Food: The food is served on those square modern white plates. For a moment i felt I was once again in a Asian-Mexican fusion restaurant. My sister got the Steak Fajitas. The portion was small and the stemming fajitas had broccoli. That's a first! As for me I enjoyed my Quesadilla ($9) but feel that the grill chicken would of been a better choice. It came with guacamole and some salad. On a side note the black beans were Delicious... I had some from dads.   I have to be honest and say that I would encourage you to go out and give it a try. But remember what I said about that Asian-Fusion feeling and leave me a comment.... LOL Near by: A short drive to UA Kaufman Studio Cinema 14, Museum of the Moving Image and the Queensboro 59th Street Bridge.  40th Street and Queens Blvd stop on the 7 Train.  Hours:Mo-Fri 12pm-2am; Sa-Sun 11am-2am","Gus Gus L."
"Arriba Arriba Sunnyside",1,"2010-04-29","The only thing this place is good for is DRINKS at HAPPY HOUR. It has to be the most expensive Mexican place in Queens. And the food is hands-down the grossest Mexican I have ever had. I have to stress that I am NOT a picky eater, I will eat pretty much anything. Go to the truck across the street, Chips, or my fav - De Mole. Anywhere but here!","Jessica P."
"Arriba Arriba Sunnyside",5,"2011-04-04","This is my favorite restaurant ever. Their food is excellent and I have never tasted a better margarita.","Kathy P."
"Arriba Arriba Sunnyside",2,"2013-01-08","The reason I give this place two stars is because the service was really bad. I'm not a picky person but the waiter I had made feel rushed and very uncomfortable. Uncomfortable to the point I wanted to leave .... He was rude and I almost felt like he didn't even want to be there because he looked so miserable....  I have never been there on a Sunday but  he ruined my experience... With that being said the food was good and the sangria adds a nice touch to the meal.","Isadora M."
"Arriba Arriba Sunnyside",5,"2009-11-07","I love this place! It's right around the corner from where I live so it's very convenient. The service is so friendly, and all of the bartenders and staff always talk to me in Spanish!! very cute. (I study Spanish) Their margaritas are nice and strong. I recommend the coconut, I don't even like coconut but this margarita is the best. Their food is really good too, especially their guacamole. I bought it for a party I was throwing and my friends loved it. Olé!!","Kristin Y."
"Arriba Arriba Sunnyside",2,"2010-05-11","It wasn't bad.  When Chips first opened up next to the movie theater, that was the best Mexican place in Sunnyside.  The food was authentic, refined, and most importantly, it was delicious!  Then they changed owners and it sucked.  I've been waiting a long time for a good Mexican restaurant and AA  (not alcoholics anonymous, but Arriba Arriba) was disappointing.  I ordered  the chicken chimichangas, and I swear it was a burrito.  That was strike one, strike two: there were bones in my chimichanga.  Strike three: customer service was not the best.  I guess it's too hard to be friendly.  And...this was easily the weirdest part, they sprinkled Parmesan cheese not only on my chimichanga, but on the beans too!  I'm Italian, I love Parmesan cheese, but it has no place on chimichangas.  There was one positive, however, the food has some flavor.  It's not bad at all, just don't expect anything.","Charles P."
"Arriba Arriba Sunnyside",3,"2012-05-29","Went on the Monday of memorial day around 3 pm when it was 87 degrees outside. They did not have the air conditioner on and had two ceiling fans going. When we asked to put the AC on, they looked at us as if we were strange. Had the happy hour sangria and a burrito with chorizo. It seemed all good, but can't really tell you since the sweat was pouring off of us and we almost became delusional from the oppressive heat. They also forgot to bring us our guacomole. Will try again in the winter, because I am not making the trip out there to sweat on my food.","Irene W."
"Arriba Arriba Sunnyside",4,"2009-03-23","finally got to try this place out last night w/ Stan and I am in Love w/ their shrimp tacos. soooooo good. although they did not have it on their menu, they were happy to accommodate and make them since they have been told that people often ask if they make them. I can't wait to go back. margaritas are also nice and strong. i didnt care for their tamales but the salsa that came w/ the chips was very fresh","Theresa X."
"Arriba Arriba Sunnyside",1,"2012-06-08","We were seated for 15 minutes before being acknowledged by our server. I wish we had left then. Server was lackadaisical, and forgot one of our orders and a side. Never apologized, blamed us. I'm sorry, but if there are four people at the table and you only bring out three entrees, then obviously you forgot an order.  The kicker was the bill at the end. We ordered a burrito with beans and cheese only. The waitress charged us for the most expensive burrito on the menu.  Complaining to the management did nothing. There are so many better restaurants out there with better food, better service, and better prices.  Stay away from this place.","J D."
"Arriba Arriba Sunnyside",1,"2011-05-08","Let me put it this way...It is Cinco de Mayo and instead of offering drink specials like every other restaurant in this city, this one jacks up the prices..nuff said...NEXT!!!!","Dionne B."
"Arriba Arriba Sunnyside",4,"2012-05-07","I would call this comfort-mexican.  Not the most super authentic mexican fare- more like tex-mex, but still super enjoyable.  Sometimes you just get a craving for tex-mex, and they fill that need pretty well.  I do not know what to make of the compaints regarding the service-  I have been going here for a couple of years with my small daughter and the staff falls over themselves to attend to us.","Johnny W."
"Arriba Arriba Sunnyside",4,"2010-10-26","I've been to Arriba Arriba twice and both times I ordered the same thing- as appetizer I had the ceviche from the weekend specials, and fried calamari. The first time the ceviche was really good, but the second time they mixed the ceviche with mint. Now, I AM a ceviche expert, and I've never had a ceviche as bad as I did that day at Arriba Arriba. I couldn't really taste the fish, it was all mint. The fried calamari are insanely good! The orange-ish sauce is just perfection; and the calamari tastes so fresh and are easy to chew. As main course I had... I ordered... sh*t! I forgot the names! I'm looking at the menu but I don't see any of the dishes I ordered; perhaps I have the old one. Anyway, I think one was called Mussels Jarochos (for 2), another one, I think it was The Roasted Duck Taquitos, and finally, something with lamb or goat. Jeez, I started this review about a month a ago and I'm just finishing up now. Overall, a mi me gusta mucho Arriba Arriba! VIVA LA REVOLUCION!","Angela M."
"Arriba Arriba Sunnyside",5,"2009-10-16","Love this place!  The drinks are serious and the food is fantastic.  Menu has huge selection and ACTUALLY HAS SEVERAL VEGETARIAN CHOICES!  And the beans and rice are vegetarian.  I love the food, the servers/staff/owners are all friendly and they will make any substitution you want.  Very rare for a restaurant to allow such substitutions, this just shows everything is fresh and made to order instead of pre-made and heated.","Stephanie S."
"Arriba Arriba Sunnyside",1,"2010-03-15","we use to lunch two to three times every week at this place, it was worth the walk from our office but now they change the lunch menu, now there are less options. Bad Arriba, mucho bad! I dont think we going to be back, we going to miss the sangrias & margaritas. fajita Burritos the best, not more...","Mr. Smith S."
"Arriba Arriba Sunnyside",3,"2011-01-31","The service here is very slow and the food is just OK.  I went for brunch twice and once had a dish with eggs that made me nauseous, and the other other time I have fajitas which were pretty good in contrast.  The guacamole is good and so are the margaritas.  I think you just have to be careful with what you pick to eat off the menu.","Mush B."
"Arriba Arriba Sunnyside",1,"2011-08-21","I HIGHLY recommend only eating from this place if you're doing take out. Don't even bother walking in there, just order from them off grubhub or seemlessweb. This place is so outrageously loud it's ridiculous. My friend and I went in for a local girls night out. Now, the margaritas were SUPER strong (you could see the tequila and juice separate--gotta say that I was impressed) and they were delicious. However, they have a dj which is cool but the volume is so high, it's like he thinks he's playing for a club that's 3 times the size packed with people. My friend and I were practically sitting on each other and I couldn't hear a thing she said. If they would just turn down the volume so it didn't make my eardrums violently vibrate, the rating would be much higher. Also, the people in there were not our crowd at all. The people there were super trashy and the waitstaff were rude and tended to disappear. Our waiter was more interested in getting some girl drunk and flirting rather than wait on our table. The food itself is actually pretty good but this is very much a delivery restaurant only!","melissa d."
"Arriba Arriba Sunnyside",4,"2009-12-08","Great neighborhood hangout with a fantastic staff.  The margaritas are killer and the happy hour cannot be beat in this neighborhood.  The food is good (not amazing), but you can definitely get a decent meal.  There are businesses with better Mexican food in the neighborhood, but they are not nearly as fun as this place.","Tom B."
"Arriba Arriba Sunnyside",5,"2010-07-11","I am a big fan of Arriba Arriba.  It was definitely a welcome addition to the Sunnyside neighborhood as we really needed a good restaurant and bar.  Their drinks are great!  Love the coconut margarita.  I always order the Seafood Salad as it is delicious. The staff is also very nice.  When I sit at the bar I feel like I am hanging out with friends.","Erica Y."
"Arriba Arriba Sunnyside",1,"2011-09-18","Awful! What a disastrous experience, serving stal soda in cracked glasses, giving you fries with no ketchup, putting mozzarella in your omlette when you asked for goat cheese 3 times! No mimosa when the brunch menu clearly states mimosa. Nightmare, if you eat here you are a fool! Spanish waitress doesn't understand any language, not Spanish nor English. Save you $$ and your lips ( so they don't get cut on the glass)","Evelyn V."
"Arriba Arriba Sunnyside",1,"2011-08-25","Last time I went I got food poisoning.  It took me nearly 4 days to recover.  Enough said will never go back.","Lenny P."
"Arriba Arriba Sunnyside",4,"2009-08-08","This place has a good vibe. Open floor plan, decent bar, very cute waitresses. The food is really good, nice presentation. Front of the restaurant opens in the nice weather to the street. Right off the 40th St stop off the #7 train.","Brian K."
"Arriba Arriba Sunnyside",5,"2012-03-05","I've had some pretty great experiences here.   First off, their margaritas are STRONG. They come in all sorts of delicious flavors, like pomegranate and coconut, and they're pretty affordable (they have great happy hour specials).  After three margaritas here, I was literally so tipsy that I almost had trouble getting up.  And no hangovers, which is a plus. Their food is also delicious - it's genuine Mexican food.  Their quesadillas with cotija cheese and veggies are delicious, and they make an awesome burrito.  I've also had their chicken nachos and I literally wanted to lick my plate.   I love the addition of jalapeños in their chicken burritos.  All in all, I would definitely recommend this place over Del Mole.  It does get a little 'fratty' with all of their flat screen TVs and the top 40 hip hop and dance music at night - they can't decide if they want to be a hip hop club or an authentic Mexican restaurant.  Nonetheless, I've had a good time every time I've gone here.  All it takes is one margarita and something off their menu,","kelly r."
"Arriba Arriba Sunnyside",1,"2012-08-06","my husband and i have stoped there for flautas a couple of times, which they are ok.   but they water the drinks!!!!!!   very  bad!!!!!! i had vodka and oj the first time.  i gave them another chance with  gin and tonic, same  watered down.  very sad to pay top dollar $65.00 and get watered down drinks........ i will not go back for water drinks. some of the things on the menu are ok ,  but have your drinks at home, you will be drinking water in this restaurant.","Margarita B."
"Arriba Arriba Sunnyside",4,"2011-05-18","Been there eight times in the course of two years. The restaurant is located near the seven train, near all the other restaurants and small businesses of Sunnyside. The food is average, bordering good. The margaritas and alcohol selection is a little better, pretty strong. They have a lunch menu where for $9-12 (remember tax and tip) you can get a lunch order like from a selection of burritos with a margarita or other alcohol drink. The service is slow and not that great, but that's fine because it's a place you can relax and watch the television they have over the bar. The waiters are not rude but not nice either, depends on which you get, just right, in the middle. You can munch on the free chips and basic salsa while you wait for your food. They have bar and table seating. The decor is nice, dark but lit enough to see well, hip, where LED lights brighten up a wall that looks like a Mayan design. In the summer time doors open for a nice view outside as you eat. The bathroom is clean and tables are wiped. Outside is a bus stop.","Andrew S."
