price,lotsize,nbdrm,nbhrm,nstor,ngar,drive,recrm,base,gas,air,neigh
149300,5800,3,2,4,0,1,0,0,0,1,0
150300,6000,3,2,4,0,1,0,0,0,1,0
151200,4800,3,1,3,0,1,0,0,0,1,0
153000,6500,3,2,3,0,1,0,0,0,1,0
154800,7320,4,2,2,0,1,0,0,0,0,0
154800,6525,3,2,4,1,1,0,0,0,0,0
166600,4800,3,2,4,0,1,1,0,0,1,0
171200,6000,3,2,4,0,1,0,0,0,1,0
187600,6000,3,2,4,1,1,1,0,0,1,0
191200,6000,3,2,2,1,1,1,0,0,1,0
191200,6000,3,1,2,1,1,0,0,0,1,0
